player1;player2;winner;score
25;4;25;{'player_1': 2, 'player_2': 1}
11;91;11;{'player_1': 2, 'player_2': 0}
86;63;63;{'player_1': 0, 'player_2': 2}
14;66;14;{'player_1': 2, 'player_2': 1}
67;14;67;{'player_1': 2, 'player_2': 1}
84;78;78;{'player_1': 0, 'player_2': 2}
51;83;51;{'player_1': 2, 'player_2': 0}
58;17;58;{'player_1': 2, 'player_2': 1}
100;65;65;{'player_1': 0, 'player_2': 2}
33;43;43;{'player_1': 1, 'player_2': 2}
57;44;57;{'player_1': 2, 'player_2': 0}
56;84;56;{'player_1': 2, 'player_2': 0}
58;4;4;{'player_1': 1, 'player_2': 2}
73;21;21;{'player_1': 0, 'player_2': 2}
100;70;70;{'player_1': 1, 'player_2': 2}
100;99;100;{'player_1': 2, 'player_2': 1}
52;32;52;{'player_1': 2, 'player_2': 1}
41;31;31;{'player_1': 1, 'player_2': 2}
46;11;11;{'player_1': 0, 'player_2': 2}
34;37;34;{'player_1': 2, 'player_2': 1}
76;19;19;{'player_1': 0, 'player_2': 2}
24;87;87;{'player_1': 0, 'player_2': 2}
18;85;18;{'player_1': 2, 'player_2': 0}
5;31;31;{'player_1': 0, 'player_2': 2}
11;67;11;{'player_1': 2, 'player_2': 0}
75;52;52;{'player_1': 0, 'player_2': 2}
20;75;20;{'player_1': 2, 'player_2': 1}
1;56;56;{'player_1': 1, 'player_2': 2}
99;13;99;{'player_1': 2, 'player_2': 1}
60;45;45;{'player_1': 0, 'player_2': 2}
73;79;79;{'player_1': 0, 'player_2': 2}
80;57;80;{'player_1': 2, 'player_2': 1}
30;67;67;{'player_1': 0, 'player_2': 2}
34;56;56;{'player_1': 0, 'player_2': 2}
74;96;96;{'player_1': 0, 'player_2': 2}
73;59;73;{'player_1': 2, 'player_2': 0}
55;65;55;{'player_1': 2, 'player_2': 1}
77;100;100;{'player_1': 0, 'player_2': 2}
7;41;41;{'player_1': 1, 'player_2': 2}
23;64;23;{'player_1': 2, 'player_2': 1}
39;87;87;{'player_1': 0, 'player_2': 2}
87;5;87;{'player_1': 2, 'player_2': 0}
72;7;72;{'player_1': 2, 'player_2': 0}
71;12;71;{'player_1': 2, 'player_2': 1}
100;82;82;{'player_1': 1, 'player_2': 2}
55;14;14;{'player_1': 0, 'player_2': 2}
99;70;70;{'player_1': 0, 'player_2': 2}
64;90;64;{'player_1': 2, 'player_2': 0}
55;84;55;{'player_1': 2, 'player_2': 0}
80;26;26;{'player_1': 1, 'player_2': 2}
42;43;43;{'player_1': 1, 'player_2': 2}
92;35;35;{'player_1': 1, 'player_2': 2}
60;8;60;{'player_1': 2, 'player_2': 1}
100;10;10;{'player_1': 0, 'player_2': 2}
18;34;18;{'player_1': 2, 'player_2': 1}
87;55;55;{'player_1': 0, 'player_2': 2}
87;50;87;{'player_1': 2, 'player_2': 1}
34;79;34;{'player_1': 2, 'player_2': 1}
68;64;64;{'player_1': 0, 'player_2': 2}
11;95;11;{'player_1': 2, 'player_2': 0}
64;28;64;{'player_1': 2, 'player_2': 0}
6;24;24;{'player_1': 1, 'player_2': 2}
54;85;85;{'player_1': 0, 'player_2': 2}
33;12;33;{'player_1': 2, 'player_2': 1}
36;51;36;{'player_1': 2, 'player_2': 1}
82;43;43;{'player_1': 1, 'player_2': 2}
64;62;62;{'player_1': 0, 'player_2': 2}
55;63;63;{'player_1': 1, 'player_2': 2}
12;17;17;{'player_1': 0, 'player_2': 2}
46;7;46;{'player_1': 2, 'player_2': 0}
19;53;19;{'player_1': 2, 'player_2': 0}
55;57;57;{'player_1': 1, 'player_2': 2}
16;26;26;{'player_1': 0, 'player_2': 2}
77;45;45;{'player_1': 0, 'player_2': 2}
3;34;3;{'player_1': 2, 'player_2': 0}
26;8;26;{'player_1': 2, 'player_2': 1}
91;9;91;{'player_1': 2, 'player_2': 1}
41;18;18;{'player_1': 0, 'player_2': 2}
11;13;11;{'player_1': 2, 'player_2': 0}
78;75;78;{'player_1': 2, 'player_2': 1}
30;77;30;{'player_1': 2, 'player_2': 1}
68;71;68;{'player_1': 2, 'player_2': 0}
46;50;50;{'player_1': 0, 'player_2': 2}
32;75;75;{'player_1': 0, 'player_2': 2}
100;34;34;{'player_1': 0, 'player_2': 2}
72;40;72;{'player_1': 2, 'player_2': 0}
84;45;45;{'player_1': 1, 'player_2': 2}
72;71;72;{'player_1': 2, 'player_2': 0}
24;88;88;{'player_1': 0, 'player_2': 2}
82;22;22;{'player_1': 1, 'player_2': 2}
24;10;10;{'player_1': 1, 'player_2': 2}
56;60;56;{'player_1': 2, 'player_2': 1}
59;22;22;{'player_1': 0, 'player_2': 2}
21;48;48;{'player_1': 1, 'player_2': 2}
83;36;83;{'player_1': 2, 'player_2': 1}
58;68;58;{'player_1': 2, 'player_2': 1}
66;43;66;{'player_1': 2, 'player_2': 1}
95;10;95;{'player_1': 2, 'player_2': 1}
21;6;21;{'player_1': 2, 'player_2': 1}
54;57;57;{'player_1': 1, 'player_2': 2}
50;20;50;{'player_1': 2, 'player_2': 1}
81;11;11;{'player_1': 0, 'player_2': 2}
16;100;100;{'player_1': 0, 'player_2': 2}
69;63;69;{'player_1': 2, 'player_2': 1}
48;81;81;{'player_1': 0, 'player_2': 2}
11;97;97;{'player_1': 0, 'player_2': 2}
76;59;59;{'player_1': 0, 'player_2': 2}
90;83;90;{'player_1': 2, 'player_2': 1}
21;56;56;{'player_1': 1, 'player_2': 2}
99;16;99;{'player_1': 2, 'player_2': 1}
84;58;84;{'player_1': 2, 'player_2': 0}
90;55;90;{'player_1': 2, 'player_2': 0}
77;70;77;{'player_1': 2, 'player_2': 1}
87;31;87;{'player_1': 2, 'player_2': 1}
97;21;97;{'player_1': 2, 'player_2': 0}
28;91;28;{'player_1': 2, 'player_2': 0}
11;40;11;{'player_1': 2, 'player_2': 0}
39;2;2;{'player_1': 0, 'player_2': 2}
70;50;50;{'player_1': 1, 'player_2': 2}
97;14;14;{'player_1': 0, 'player_2': 2}
26;23;26;{'player_1': 2, 'player_2': 1}
34;65;65;{'player_1': 0, 'player_2': 2}
76;88;88;{'player_1': 0, 'player_2': 2}
73;14;73;{'player_1': 2, 'player_2': 0}
8;92;92;{'player_1': 0, 'player_2': 2}
71;83;83;{'player_1': 0, 'player_2': 2}
4;46;46;{'player_1': 1, 'player_2': 2}
94;58;58;{'player_1': 0, 'player_2': 2}
87;97;87;{'player_1': 2, 'player_2': 0}
58;97;58;{'player_1': 2, 'player_2': 0}
88;72;88;{'player_1': 2, 'player_2': 1}
69;2;69;{'player_1': 2, 'player_2': 1}
51;67;51;{'player_1': 2, 'player_2': 0}
85;54;85;{'player_1': 2, 'player_2': 0}
36;100;100;{'player_1': 0, 'player_2': 2}
58;87;87;{'player_1': 0, 'player_2': 2}
15;16;15;{'player_1': 2, 'player_2': 1}
4;62;62;{'player_1': 1, 'player_2': 2}
72;63;63;{'player_1': 1, 'player_2': 2}
58;42;58;{'player_1': 2, 'player_2': 0}
34;18;18;{'player_1': 1, 'player_2': 2}
49;39;49;{'player_1': 2, 'player_2': 1}
92;50;50;{'player_1': 1, 'player_2': 2}
82;36;36;{'player_1': 1, 'player_2': 2}
35;95;95;{'player_1': 1, 'player_2': 2}
40;48;40;{'player_1': 2, 'player_2': 0}
72;28;28;{'player_1': 0, 'player_2': 2}
29;19;29;{'player_1': 2, 'player_2': 0}
2;8;2;{'player_1': 2, 'player_2': 0}
64;24;24;{'player_1': 0, 'player_2': 2}
43;67;43;{'player_1': 2, 'player_2': 1}
12;94;12;{'player_1': 2, 'player_2': 1}
81;45;45;{'player_1': 1, 'player_2': 2}
73;35;73;{'player_1': 2, 'player_2': 1}
85;79;79;{'player_1': 1, 'player_2': 2}
58;49;49;{'player_1': 1, 'player_2': 2}
84;85;84;{'player_1': 2, 'player_2': 0}
41;50;50;{'player_1': 0, 'player_2': 2}
58;83;58;{'player_1': 2, 'player_2': 0}
32;56;32;{'player_1': 2, 'player_2': 1}
95;7;7;{'player_1': 0, 'player_2': 2}
19;47;47;{'player_1': 1, 'player_2': 2}
33;64;64;{'player_1': 1, 'player_2': 2}
26;62;62;{'player_1': 0, 'player_2': 2}
15;73;15;{'player_1': 2, 'player_2': 1}
23;33;23;{'player_1': 2, 'player_2': 0}
58;97;58;{'player_1': 2, 'player_2': 0}
82;91;91;{'player_1': 1, 'player_2': 2}
53;14;14;{'player_1': 1, 'player_2': 2}
25;14;25;{'player_1': 2, 'player_2': 0}
35;4;35;{'player_1': 2, 'player_2': 0}
26;12;12;{'player_1': 1, 'player_2': 2}
14;11;14;{'player_1': 2, 'player_2': 1}
1;13;13;{'player_1': 1, 'player_2': 2}
85;59;59;{'player_1': 1, 'player_2': 2}
58;15;58;{'player_1': 2, 'player_2': 1}
85;75;85;{'player_1': 2, 'player_2': 1}
58;93;58;{'player_1': 2, 'player_2': 0}
67;75;67;{'player_1': 2, 'player_2': 1}
56;30;30;{'player_1': 0, 'player_2': 2}
82;12;12;{'player_1': 1, 'player_2': 2}
14;85;85;{'player_1': 1, 'player_2': 2}
2;16;2;{'player_1': 2, 'player_2': 1}
63;54;63;{'player_1': 2, 'player_2': 0}
38;58;38;{'player_1': 2, 'player_2': 1}
80;67;80;{'player_1': 2, 'player_2': 0}
94;82;82;{'player_1': 1, 'player_2': 2}
42;50;42;{'player_1': 2, 'player_2': 1}
29;54;54;{'player_1': 1, 'player_2': 2}
28;65;28;{'player_1': 2, 'player_2': 1}
41;93;41;{'player_1': 2, 'player_2': 0}
1;72;72;{'player_1': 0, 'player_2': 2}
84;45;45;{'player_1': 1, 'player_2': 2}
45;95;45;{'player_1': 2, 'player_2': 0}
20;77;20;{'player_1': 2, 'player_2': 1}
14;28;28;{'player_1': 0, 'player_2': 2}
76;80;80;{'player_1': 0, 'player_2': 2}
77;22;77;{'player_1': 2, 'player_2': 1}
73;60;60;{'player_1': 0, 'player_2': 2}
25;85;85;{'player_1': 0, 'player_2': 2}
85;27;27;{'player_1': 0, 'player_2': 2}
81;27;81;{'player_1': 2, 'player_2': 1}
54;41;54;{'player_1': 2, 'player_2': 0}
80;17;17;{'player_1': 1, 'player_2': 2}
61;58;58;{'player_1': 0, 'player_2': 2}
22;72;72;{'player_1': 0, 'player_2': 2}
21;23;23;{'player_1': 1, 'player_2': 2}
2;91;91;{'player_1': 1, 'player_2': 2}
70;43;43;{'player_1': 1, 'player_2': 2}
55;19;19;{'player_1': 0, 'player_2': 2}
45;28;28;{'player_1': 1, 'player_2': 2}
27;67;67;{'player_1': 0, 'player_2': 2}
26;63;26;{'player_1': 2, 'player_2': 0}
20;64;20;{'player_1': 2, 'player_2': 0}
94;57;94;{'player_1': 2, 'player_2': 1}
7;33;33;{'player_1': 0, 'player_2': 2}
62;77;62;{'player_1': 2, 'player_2': 1}
78;27;78;{'player_1': 2, 'player_2': 1}
